City1,City2,Average Fare (AvgFare),Distance,Average weekly passengers (AvgWklyPsgr),market leading airline (LdAirline),market share (LdShare),Average fare (LdAvgFare),Low price airline (LowAirline),market share (LowShare),price (LowFare)
ATL,SAV,82.76,215.0,342.28,DL,91.23,83.22,FL,8.51,77.01
ATL,SEA,265.27,2182.0,620.54,DL,63.35,284.8,UA,11.35,206.98
ATL,TLH,95.19,223.0,189.56,DL,70.29,99.55,FL,29.18,84.61
ATL,TPA,128.75,406.0,1486.52,DL,70.94,131.27,FL,27.27,120.26
ATL,IAD,156.32,547.0,2558.47,DL,74.26,168.36,FL,13.3,117.23
ATL,PBI,137.63,545.0,537.93,DL,89.53,138.94,FL,8.2,125.56
ATL,ICT,110.61,781.0,207.39,FL,65.4,101.24,FL,65.4,101.24
ACY,FLL,128.2,977.0,431.41,NK,99.72,128.1,NK,99.72,128.1
ACY,RSW,127.37,982.0,290.76,NK,99.14,127.46,NK,99.14,127.46
ACY,MCO,123.98,852.0,444.23,NK,97.01,124.42,DL,2.69,100.8
ACY,TPA,122.38,914.0,208.36,NK,95.77,122.4,NK,95.77,122.4
AUS,BWI,186.26,1340.0,357.71,WN,48.86,184.06,WN,48.86,184.06
AUS,ORD,176.77,972.0,589.78,AA,66.95,174.92,AA,66.95,174.92
AUS,DFW,90.7,183.0,1266.73,WN,79.11,86.78,WN,79.11,86.78
AUS,DEN,150.14,768.0,453.26,UA,44.74,162.12,F9,39.37,132.8
AUS,ELP,117.9,525.0,347.93,WN,95.87,118.14,AA,2.24,110.94
AUS,IAH,87.71,160.0,595.97,WN,73.17,82.96,WN,73.17,82.96
AUS,LAS,138.96,1085.0,500.1,WN,72.0,136.31,WN,72.0,136.31
AUS,LAX,178.55,1238.0,508.04,AA,55.99,179.84,WN,26.25,171.96
AUS,LBB,92.35,335.0,267.06,WN,96.41,91.85,DL,1.75,85.74
AUS,MSP,258.83,1035.0,207.5,NW,69.35,255.22,NW,69.35,255.22
AUS,BNA,132.7,753.0,242.28,WN,82.81,130.8,NW,1.65,111.16
AUS,MSY,134.21,446.0,194.45,WN,68.47,136.0,CO,22.13,128.55
AUS,LGA,271.07,1519.0,656.95,CO,43.58,293.58,AA,35.72,264.17
AUS,MCO,163.37,995.0,245.54,WN,39.88,151.56,WN,39.88,151.56
AUS,PHX,133.04,868.0,461.41,WN,48.73,133.15,HP,39.81,131.63
AUS,RDU,177.41,1161.0,186.95,WN,46.04,161.59,WN,46.04,161.59
AUS,STL,153.38,717.0,213.04,AA,73.36,151.81,AA,73.36,151.81
AUS,SAN,170.03,1161.0,252.06,WN,50.02,167.75,WN,50.02,167.75
AUS,SJC,223.26,1471.0,483.15,AA,75.86,224.37,WN,12.37,210.28
AUS,SEA,177.23,1764.0,241.08,AA,30.43,179.0,CO,15.96,160.6
AUS,IAD,245.59,1313.0,313.91,AA,38.95,272.39,CO,19.8,215.45
BWI,BHM,122.89,682.0,386.08,WN,80.46,120.61,WN,80.46,120.61
BWI,BOS,99.16,370.0,1162.71,FL,71.51,86.65,FL,71.51,86.65
BWI,BUF,68.57,281.0,671.19,WN,94.94,67.82,WN,94.94,67.82
BWI,CLT,237.0,360.0,198.04,US,93.9,237.95,DL,3.34,219.57
BWI,ORD,129.98,621.0,1870.86,WN,40.54,117.75,WN,40.54,117.75
BWI,CLE,83.51,314.0,945.0,WN,52.04,78.32,WN,52.04,78.32
BWI,CMH,80.62,336.0,483.26,HP,47.09,82.41,WN,40.82,77.34
BWI,DFW,216.89,1217.0,782.06,AA,66.0,226.13,NW,1.51,128.45
BWI,DEN,191.68,1491.0,743.69,UA,64.22,207.43,F9,18.44,158.47
BWI,DTW,198.83,408.0,470.1,NW,72.25,219.61,WN,19.32,139.29
BWI,FLL,129.48,925.0,1037.6,WN,55.67,131.87,FL,27.69,122.31
BWI,RSW,139.06,919.0,252.6,FL,68.2,135.12,US,10.62,134.13
BWI,BDL,74.41,283.0,848.36,WN,95.34,73.59,WN,95.34,73.59
BWI,IAH,188.43,1246.0,857.39,CO,53.32,193.06,WN,32.27,186.88
BWI,IND,124.0,515.0,392.39,WN,75.4,121.94,CO,2.6,121.71
BWI,JAX,121.07,663.0,485.54,WN,67.94,122.97,DL,17.57,113.17
BWI,MCI,126.27,966.0,442.39,WN,59.75,135.6,DL,11.99,114.35
BWI,LAS,156.54,2106.0,1018.26,HP,42.55,154.81,HP,42.55,154.81
BWI,ISP,72.03,220.0,490.32,WN,99.88,71.99,WN,99.88,71.99
BWI,LAX,196.95,2329.0,1134.02,WN,35.3,161.6,WN,35.3,161.6
BWI,SDF,86.77,495.0,565.97,WN,89.16,86.0,NW,3.62,71.43
BWI,MHT,74.08,377.0,1299.56,WN,96.61,73.76,WN,96.61,73.76
BWI,MIA,144.45,946.0,537.5,AA,56.94,143.92,FL,26.32,134.67
BWI,MSP,242.02,936.0,347.82,NW,73.4,261.9,CO,1.75,136.87
BWI,BNA,103.89,587.0,884.78,WN,90.15,102.97,DL,3.34,102.25
BWI,MSY,142.22,998.0,540.54,WN,46.55,153.46,US,11.36,131.22
BWI,ORF,71.81,159.0,194.02,WN,98.09,70.31,WN,98.09,70.31
BWI,OAK,173.01,2446.0,322.5,WN,47.52,174.59,HP,12.3,163.57
BWI,OKC,161.38,1180.0,189.89,AA,29.82,159.19,AA,29.82,159.19
BWI,ONT,177.45,2283.0,231.63,WN,26.65,185.7,AA,19.47,159.44
BWI,MCO,123.67,787.0,1519.89,WN,56.01,125.67,FL,27.8,116.58
BWI,PHX,165.32,1998.0,938.04,HP,39.4,173.72,WN,30.75,164.52
BWI,PDX,180.99,2358.0,309.78,UA,24.14,198.16,NW,21.89,155.47
BWI,PVD,73.42,328.0,1545.32,WN,97.3,72.65,WN,97.3,72.65
BWI,RDU,77.15,255.0,510.54,WN,90.35,74.26,WN,90.35,74.26
BWI,ROC,78.49,277.0,260.21,FL,92.52,77.08,FL,92.52,77.08
BWI,SMF,167.57,2395.0,307.82,UA,31.6,174.59,AA,14.12,151.84
BWI,STL,134.54,737.0,722.06,AA,51.34,135.8,WN,42.46,131.17
BWI,SLC,180.52,1864.0,387.93,WN,36.7,168.52,WN,36.7,168.52
BWI,SAT,173.49,1407.0,432.39,WN,42.15,175.1,AA,21.41,166.85
BWI,SAN,181.94,2295.0,701.3,WN,25.13,173.91,WN,25.13,173.91
BWI,SFO,266.31,2457.0,413.91,UA,70.27,273.4,F9,1.54,192.84
BWI,SJC,186.18,2438.0,265.0,AA,33.38,183.7,NW,13.2,141.52
BWI,SEA,176.63,2335.0,495.32,NW,17.68,167.25,AA,13.53,143.85
BWI,TPA,125.09,842.0,1071.63,WN,55.01,128.39,FL,27.15,115.16
BWI,TUS,172.16,1976.0,214.34,AA,34.33,168.64,CO,15.51,142.59
BWI,PBI,137.32,883.0,386.95,WN,72.52,138.83,DL,15.19,129.9
BHM,ORD,132.62,584.0,336.19,WN,76.13,125.76,WN,76.13,125.76
BHM,DFW,170.24,597.0,249.02,AA,48.31,157.72,AA,48.31,157.72
BHM,IAH,135.91,570.0,318.36,WN,54.83,131.94,WN,54.83,131.94
BHM,LAS,156.02,1618.0,192.39,WN,59.83,153.49,DL,29.6,153.04
BHM,MSY,76.7,321.0,323.36,WN,94.85,75.58,WN,94.85,75.58
BHM,LGA,213.08,866.0,343.91,DL,60.11,209.7,DL,60.11,209.7
BHM,MCO,110.2,478.0,307.17,WN,68.64,103.62,WN,68.64,103.62
BHM,TPA,109.96,460.0,270.54,WN,82.28,106.2,WN,82.28,106.2
BOI,DEN,141.26,649.0,244.02,UA,48.06,157.54,F9,37.95,117.63
BOI,LAS,99.44,520.0,261.84,WN,85.26,99.38,DL,11.66,95.41
BOI,LAX,126.18,674.0,275.32,AS,47.76,132.68,DL,15.23,110.66
BOI,PHX,133.52,735.0,251.95,HP,62.64,130.19,HP,62.64,130.19
BOI,PDX,80.47,344.0,656.95,WN,55.27,69.87,WN,55.27,69.87
BOI,SLC,76.18,291.0,251.3,WN,60.12,71.04,WN,60.12,71.04
BOI,SEA,82.23,399.0,844.45,AS,56.3,90.85,WN,43.01,70.71
BOI,GEG,72.5,287.0,354.67,WN,76.55,68.06,WN,76.55,68.06
BOS,CLT,228.64,727.0,290.54,US,78.48,249.21,NW,9.42,123.78
BOS,ORD,179.6,867.0,2090.76,UA,42.23,189.36,TZ,11.41,132.43
BOS,CVG,249.21,752.0,270.0,DL,87.39,259.41,CO,1.81,114.64
BOS,CLE,252.85,563.0,315.97,CO,86.99,258.55,DL,2.99,157.56
BOS,CMH,185.06,640.0,307.93,HP,57.99,182.51,HP,57.99,182.51
BOS,DFW,248.6,1562.0,1098.04,AA,61.55,276.92,DL,23.89,209.37
BOS,DAY,108.11,709.0,214.67,US,33.41,124.75,NW,19.79,86.79
BOS,DEN,213.21,1754.0,930.1,UA,64.35,240.3,AA,11.17,137.82
BOS,DTW,237.89,632.0,542.28,NW,81.77,250.61,US,6.27,143.04
BOS,FLL,144.67,1237.0,1254.56,DL,67.45,145.46,AA,17.31,139.11
BOS,RSW,148.71,1249.0,723.15,DL,77.93,148.87,US,6.35,135.26
BOS,IAH,236.58,1609.0,667.17,CO,68.01,242.92,CO,68.01,242.92
BOS,JAX,141.77,1011.0,208.04,DL,50.57,141.17,US,31.92,137.09
BOS,MCI,167.56,1256.0,265.43,YX,35.7,175.92,US,10.27,149.18
BOS,LAS,170.57,2381.0,865.65,HP,43.54,181.53,NW,10.86,129.21
BOS,LAX,314.01,2611.0,1259.02,AA,38.28,345.48,AA,38.28,345.48
BOS,MEM,191.79,1139.0,188.69,NW,57.6,196.9,US,11.46,137.83
BOS,MIA,154.36,1258.0,992.5,AA,81.8,153.67,UA,1.4,149.55
BOS,MKE,186.23,860.0,283.04,YX,67.35,194.08,FL,1.3,112.2
BOS,MSP,270.65,1124.0,717.71,NW,69.84,310.86,US,6.26,112.42
BOS,MSY,157.76,1367.0,310.0,DL,41.97,157.54,AA,13.42,137.18
BOS,LGA,128.94,200.0,4662.82,DL,45.94,113.5,DL,45.94,113.5
BOS,MCO,131.65,1121.0,1757.06,DL,66.47,131.18,AA,20.89,130.3
BOS,PHL,204.13,280.0,1115.54,US,76.66,214.1,AA,13.42,175.75
BOS,PHX,184.68,2300.0,594.56,HP,37.02,229.39,DL,14.02,147.39
BOS,PIT,206.06,496.0,514.23,US,93.36,208.55,NW,1.2,123.66
BOS,PDX,243.79,2537.0,242.17,UA,30.25,254.66,DL,24.95,227.83
BOS,RDU,172.27,612.0,504.78,AA,64.57,176.4,AA,64.57,176.4
BOS,STL,193.78,1046.0,414.45,AA,82.34,200.3,UA,5.61,132.82
BOS,SLC,254.38,2105.0,270.86,DL,60.59,284.75,HP,16.73,176.35
BOS,SAN,307.42,2588.0,355.21,AA,46.69,316.03,HP,11.84,288.5
BOS,SFO,355.15,2704.0,1270.0,UA,45.88,410.14,AA,23.38,387.94
BOS,SJC,286.14,2689.0,505.76,AA,61.05,303.57,TZ,14.42,172.2
BOS,SNA,291.35,2592.0,183.04,AA,37.47,289.0,HP,10.74,287.38
BOS,SEA,258.68,2496.0,500.76,AS,27.32,248.67,AS,27.32,248.67
BOS,TPA,146.73,1193.0,877.71,DL,79.95,147.65,FL,3.03,135.94
BOS,IAD,163.37,413.0,2569.56,US,63.04,161.58,US,63.04,161.58
BOS,PBI,170.77,1197.0,593.04,DL,68.85,178.74,US,12.37,138.12
BUF,ORD,187.62,473.0,289.34,AA,49.24,187.99,UA,44.32,183.16
BUF,DFW,171.26,1212.0,186.41,AA,51.25,169.36,US,10.72,147.56
BUF,FLL,119.43,1166.0,309.78,DL,28.66,100.97,DL,28.66,100.97
BUF,LAS,146.87,1987.0,365.32,WN,52.87,144.97,NW,7.67,142.14
BUF,LAX,173.89,2217.0,207.71,AA,25.64,185.94,US,17.68,161.48
BUF,LGA,89.1,301.0,1352.71,B6,76.19,80.15,B6,76.19,80.15
BUF,MCO,117.41,1011.0,563.15,WN,41.9,118.38,DL,15.46,107.74
BUF,PHX,155.42,1912.0,232.17,WN,59.03,153.97,AA,7.81,147.2
BUF,TPA,106.53,1054.0,385.86,US,27.8,97.88,US,27.8,97.88
BUR,DFW,222.11,1243.0,216.08,AA,80.53,215.0,AA,80.53,215.0
BUR,LAS,62.88,223.0,1962.5,WN,97.67,63.19,AQ,2.27,49.61
BUR,OAK,78.93,325.0,2542.28,WN,99.61,78.91,WN,99.61,78.91
BUR,PHX,73.73,369.0,1074.78,WN,70.73,74.68,HP,28.6,71.2
BUR,PDX,130.69,817.0,479.78,AS,73.44,127.18,AS,73.44,127.18
BUR,RNO,99.45,374.0,195.54,WN,79.54,105.29,UA,19.17,74.61
BUR,SMF,80.33,358.0,1565.32,WN,99.22,80.21,WN,99.22,80.21
BUR,SFO,128.2,326.0,551.41,UA,99.84,128.18,UA,99.84,128.18
BUR,SJC,80.67,296.0,1129.23,WN,99.96,80.67,WN,99.96,80.67
BUR,SEA,145.58,937.0,724.02,AS,78.59,147.59,AS,78.59,147.59
BTV,LGA,92.89,267.0,314.67,B6,76.44,79.46,B6,76.44,79.46
CHS,LGA,178.94,641.0,361.19,DL,50.88,180.29,US,18.65,155.51
CLT,ORD,137.63,599.0,854.78,US,33.03,146.37,TZ,29.33,93.67
CLT,DFW,239.16,937.0,446.63,AA,57.65,241.31,AA,57.65,241.31
CLT,DEN,206.62,1338.0,296.3,US,52.53,212.42,DL,10.6,141.87
CLT,DTW,232.15,500.0,266.19,NW,53.4,251.11,US,39.4,215.61
CLT,FLL,170.45,632.0,230.76,US,78.7,172.25,DL,17.47,160.74
CLT,IAH,266.44,921.0,229.56,US,42.23,265.45,US,42.23,265.45
CLT,LAS,174.9,1917.0,272.5,US,53.84,166.02,AA,14.12,165.36
CLT,LAX,216.47,2125.0,453.26,US,51.31,237.25,AA,10.93,180.98
CLT,MIA,164.82,651.0,257.28,US,78.28,169.81,DL,10.13,154.95
CLT,MSP,206.31,930.0,263.15,NW,51.92,220.19,US,31.47,204.99
CLT,LGA,247.41,543.0,1129.78,US,72.7,251.11,US,72.7,251.11
CLT,MCO,191.79,468.0,285.86,US,91.14,191.77,DL,8.17,189.45
CLT,PHL,257.32,447.0,377.82,US,94.33,260.64,DL,3.65,166.51
CLT,PHX,210.99,1774.0,220.76,US,48.0,233.36,TZ,10.24,178.79
CLT,STL,199.95,575.0,214.23,US,50.58,198.47,US,50.58,198.47
CLT,SFO,246.26,2296.0,321.73,US,59.42,270.29,UA,10.33,259.12
CLT,TPA,198.95,508.0,256.52,US,84.4,198.85,US,84.4,198.85
CLT,IAD,233.3,330.0,356.84,US,95.58,234.92,DL,1.55,178.92
ORD,CVG,265.86,264.0,390.65,DL,48.1,255.72,DL,48.1,255.72
ORD,CLE,94.32,316.0,1946.63,WN,37.46,74.16,WN,37.46,74.16
ORD,CMH,91.5,296.0,1426.95,WN,41.33,74.59,WN,41.33,74.59
ORD,DFW,190.85,802.0,2621.63,AA,60.96,200.49,TZ,16.44,137.18
ORD,DAY,100.47,240.0,378.91,UA,53.32,97.11,TZ,19.01,94.64
ORD,DEN,154.27,895.0,2353.15,UA,54.05,170.74,TZ,18.49,124.32
ORD,DSM,147.08,306.0,203.58,UA,66.63,139.2,UA,66.63,139.2
ORD,DTW,92.55,235.0,2262.71,NW,39.95,91.53,WN,23.07,81.63
ORD,ELP,192.71,1237.0,223.36,AA,78.05,192.58,CO,3.64,171.0
ORD,FLL,135.72,1182.0,2240.65,TZ,24.41,109.07,TZ,24.41,109.07
ORD,RSW,132.67,1120.0,1339.13,TZ,46.15,121.96,NK,29.05,120.69
ORD,GSO,188.73,590.0,219.13,UA,66.91,201.5,FL,10.61,123.0
ORD,MDT,192.69,594.0,206.63,UA,61.38,189.46,UA,61.38,189.46
ORD,BDL,149.81,783.0,942.17,UA,38.83,155.39,WN,16.11,134.1
ORD,IAH,175.06,945.0,1660.1,CO,41.51,179.07,AA,18.38,168.56
ORD,IND,83.81,177.0,541.73,UA,40.38,92.49,WN,25.8,65.15
ORD,JAN,140.35,677.0,198.15,WN,66.81,132.35,WN,66.81,132.35
ORD,JAX,161.49,865.0,278.58,DL,42.52,150.43,FL,11.47,144.7
ORD,MCI,77.8,405.0,1912.93,WN,51.06,75.07,WN,51.06,75.07
ORD,LAS,132.86,1521.0,3149.13,UA,23.04,152.91,TZ,21.09,118.86
ORD,LIT,135.63,552.0,251.84,WN,56.58,135.33,AA,25.03,131.68
ORD,ISP,124.86,773.0,300.0,WN,93.87,124.11,WN,93.87,124.11
ORD,LAX,167.07,1750.0,4120.0,UA,39.15,182.31,TZ,17.1,129.23
ORD,SDF,79.86,286.0,703.58,WN,68.05,66.4,WN,68.05,66.4
ORD,MHT,151.27,843.0,533.91,UA,55.78,163.75,WN,38.64,128.79
ORD,MEM,190.76,491.0,315.21,NW,52.89,199.47,AA,31.55,187.96
ORD,MIA,178.44,1197.0,1273.58,AA,41.16,201.39,TZ,25.45,126.99
ORD,MSP,161.71,349.0,2536.19,NW,55.64,152.55,TZ,15.15,113.08
ORD,BNA,88.02,409.0,1046.63,WN,70.91,80.62,WN,70.91,80.62
ORD,MSY,163.41,837.0,777.17,AA,36.79,165.12,WN,16.55,162.15
ORD,LGA,175.42,740.0,7442.06,AA,34.0,190.56,TZ,13.43,124.32
ORD,ORF,140.64,717.0,243.26,WN,34.13,121.15,US,13.62,119.18
ORD,OAK,173.78,1844.0,544.13,WN,54.51,134.86,WN,54.51,134.86
ORD,OKC,158.1,693.0,211.95,AA,69.53,153.5,AA,69.53,153.5
ORD,OMA,84.05,423.0,905.43,WN,58.29,67.74,WN,58.29,67.74
ORD,ONT,208.23,1706.0,189.34,WN,24.28,182.03,WN,24.28,182.03
ORD,MCO,127.46,1005.0,3042.82,TZ,35.28,100.86,TZ,35.28,100.86
ORD,PHL,172.15,678.0,2142.5,UA,34.35,189.05,TZ,12.65,129.22
ORD,PHX,132.81,1444.0,3018.8,UA,25.36,136.78,TZ,11.93,124.28
ORD,PIT,171.88,412.0,766.19,US,49.96,157.19,US,49.96,157.19
ORD,PDX,221.5,1751.0,594.34,UA,59.54,230.31,AA,17.37,218.95
ORD,PVD,141.52,849.0,770.97,UA,35.64,149.77,WN,29.21,130.03
ORD,RDU,119.66,647.0,875.1,AA,57.98,120.5,WN,31.2,110.93
ORD,RNO,177.35,1680.0,191.73,AA,64.28,166.93,AA,64.28,166.93
ORD,RIC,205.77,642.0,274.45,UA,60.03,203.53,UA,60.03,203.53
ORD,ROC,192.97,528.0,249.45,UA,52.89,195.17,AA,40.82,184.02
ORD,SMF,210.03,1790.0,393.58,UA,60.03,228.95,HP,14.3,163.43
ORD,STL,84.73,258.0,1876.08,WN,45.68,75.88,WN,45.68,75.88
ORD,SLC,214.32,1258.0,482.82,DL,38.67,209.81,DL,38.67,209.81
ORD,SAT,188.15,1041.0,536.73,AA,48.68,189.24,WN,13.06,182.69
ORD,SAN,160.71,1728.0,1441.41,UA,37.08,176.07,WN,28.13,129.25
ORD,SFO,187.8,1854.0,2479.45,UA,58.76,200.63,TZ,17.68,122.65
ORD,SJC,174.72,1838.0,756.84,UA,38.21,175.94,TZ,18.62,125.89
ORD,SNA,181.88,1731.0,879.78,UA,52.16,177.15,UA,52.16,177.15
ORD,SRQ,132.9,1050.0,245.86,TZ,73.78,121.98,TZ,73.78,121.98
ORD,SEA,179.94,1733.0,1415.43,UA,46.69,203.36,TZ,14.11,127.08
ORD,SYR,186.83,607.0,199.78,UA,55.22,178.39,UA,55.22,178.39
ORD,TPA,130.18,1012.0,2118.69,TZ,25.01,102.55,TZ,25.01,102.55
ORD,TUS,175.61,1440.0,356.84,AA,70.51,172.37,AA,70.51,172.37
ORD,TUL,144.02,585.0,238.8,AA,75.64,139.9,AA,75.64,139.9
ORD,IAD,190.71,612.0,2571.41,UA,57.44,204.18,TZ,10.55,128.75
ORD,PBI,188.71,1144.0,352.28,UA,51.06,197.36,AA,13.2,170.42
ORD,HPN,219.66,738.0,525.76,AA,52.84,219.43,UA,42.81,216.63
CVG,DFW,287.35,812.0,263.15,DL,65.67,295.36,AA,28.45,288.81
CVG,DEN,230.74,1069.0,224.67,DL,77.26,241.09,US,1.79,151.7
